[Sun Dec 15 12:54:25.953275 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57640] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:54:25.953275 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57640] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:54:48.830583 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57645] PHP Fatal error:  Call to undefined method Database::query() in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 87, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:54:48.830583 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57645] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:54:48.830583 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57645] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:54:48.830583 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57645] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.863416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Warning:  Missing argument 1 for Database::connect(), called in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 86 and defined in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\database.class.php on line 22, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.863416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.864416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.865416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.866416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   3. Database->connect() C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php:86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.866416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Warning:  Missing argument 2 for Database::connect(), called in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 86 and defined in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\database.class.php on line 22, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.866416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.866416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.866416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.866416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   3. Database->connect() C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php:86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.867416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Warning:  Missing argument 3 for Database::connect(), called in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 86 and defined in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\database.class.php on line 22, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.867416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:55:20.867416 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57654] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
